FID,OBJECTID,VRT_CODE,VRTNAAM,HAVEN_VAAR,MEETPUNT_B,MEETPUNT_E,TRAJECTLEN,STATUS,TOEVOEGING,COR_NAAM,KENMERK_ID,ID,SE_ANNO_CAD_DATA,SHAPE
status_vaarweg.fid--375f6e7f_17ab674aa71_-38f6,5,225e,Lekkanaal,,0,4.157,,HR,Hoofdroute,,,16499721,,"MULTILINESTRING ((52.039099999 5.11160000000001, 52.036499999 5.11169999800001, 52.034200002 5.11270000000002, 52.030499998 5.11419999999998, 52.027800001 5.11479999900001, 52.026799999 5.11499999799997, 52.025699999 5.11489999999998, 52.023499999 5.114399999, 52.021400001 5.113699999, 52.019000001 5.11290000000002, 52.016600002 5.11200000000002, 52.0119 5.10980000000001, 52.010600001 5.10909999900002, 52.008200001 5.10759999999999, 52.006499998 5.10629999999998, 52.004900001 5.10469999899999, 52.0031 5.10310000200002))"
status_vaarweg.fid--375f6e7f_17ab674aa71_-38f5,6,234,Noordhollandsch Kanaal,,32.523,79.251,,AANT,Aantakking,,,16500474,,"MULTILINESTRING ((52.567400001 4.74419999899999, 52.5693 4.74560000000002, 52.570799999 4.74689999999998, 52.5722 4.74799999999999, 52.572999999 4.74850000100002, 52.5735 4.74889999999999, 52.574000001 4.749000002, 52.575800002 4.74920000100002, 52.5781 4.75010000200001, 52.579999998 4.75059999899997, 52.581 4.7509, 52.5823 4.75140000099998, 52.5825 4.75160000099999, 52.585700002 4.75330000000002, 52.588500001 4.754799999, 52.59 4.75560000199999, 52.590500001 4.75589999900001, 52.5911 4.75620000100002, 52.591600001 4.75639999999999, 52.592799999 4.75710000100003, 52.593400002 4.75749999999999, 52.594500002 4.75809999900002, 52.598499998 4.76040000099999, 52.601 4.761799999, 52.603 4.76289999900001, 52.6039 4.76330000199999, 52.604899999 4.76379999900001, 52.605999999 4.76469999900002, 52.606699999 4.76519999999999, 52.607000001 4.76550000200001, 52.6076 4.76579999900002, 52.611200001 4.76680000099998, 52.6116 4.76689999899997, 52.6118 4.76689999899997, 52.615600001 4.76780000000002, 52.618700001 4.76859999800001, 52.619899999 4.76889999999997, 52.6217 4.769200001, 52.622000001 4.768399999, 52.623199999 4.76680000099998, 52.624699999 4.76299999999998, 52.625999998 4.76020000099999, 52.627099998 4.75780000200001, 52.627900001 4.75600000100002, 52.628199998 4.75560000199999, 52.628600001 4.75549999999998, 52.629099999 4.75589999900001, 52.629700001 4.75639999999999, 52.6303 4.7568, 52.630600002 4.7568, 52.630899999 4.756700002, 52.631299999 4.75620000100002, 52.6318 4.75549999999998, 52.632100001 4.754799999, 52.632300001 4.75429999800002, 52.632800002 4.752900001, 52.633400001 4.75059999899997, 52.6338 4.74940000100003, 52.634399999 4.74859999900002, 52.6351 4.74790000199999, 52.635600001 4.74740000100002, 52.635899998 4.74729999900001, 52.636799999 4.74689999999998, 52.639899999 4.745900001, 52.6426 4.745200001, 52.649099998 4.74309999899998, 52.653499998 4.74280000099998, 52.654100001 4.7432, 52.654899999 4.74439999800001, 52.6556 4.74500000099999, 52.656500001 4.74570000199998, 52.657400001 4.74630000100001, 52.658 4.74630000100001, 52.659400001 4.745299999, 52.660300002 4.745200001, 52.662599999 4.74560000000002, 52.662999999 4.745900001, 52.6633 4.746199999, 52.663699999 4.74689999999998, 52.664500002 4.74769999799997, 52.664799999 4.74799999999999, 52.665800001 4.74889999999999, 52.669100001 4.75130000000001, 52.6699 4.75200000000001, 52.6708 4.75250000099999, 52.671100002 4.75250000099999, 52.671500001 4.75240000000002, 52.6721 4.75200000000001, 52.672600001 4.75140000099998, 52.673099998 4.7509, 52.673799999 4.75039999900002, 52.6743 4.74989999799999, 52.674800001 4.74920000100002, 52.675099999 4.749000002, 52.675900001 4.74839999900001, 52.676800001 4.74769999799997, 52.677000001 4.74749999900001, 52.677299999 4.747099999, 52.677700002 4.746399999, 52.677999999 4.74570000199998, 52.678300001 4.74460000200003, 52.678599998 4.74410000099999, 52.679000001 4.74350000200002, 52.679400001 4.74300000099998, 52.680799998 4.74179999900002, 52.6809 4.74170000100003, 52.6818 4.74099999999999, 52.682500001 4.74020000199999, 52.6833 4.739399999, 52.683800001 4.73899999999998, 52.684 4.73880000000003, 52.6844 4.73829999899999, 52.684900001 4.737500001, 52.6851 4.73700000000002, 52.685400002 4.73649999899999, 52.685899999 4.73600000099998, 52.6866 4.7355, 52.686900001 4.73510000099998, 52.687600002 4.73420000099998, 52.688099999 4.73339999799998, 52.690299999 4.73030000199998, 52.6919 4.727899998, 52.693599999 4.72540000100003, 52.696199998 4.72170000199998, 52.697000001 4.72069999899998, 52.6972 4.72040000200002, 52.697500002 4.720199998, 52.697799999 4.71999999899998, 52.698199999 4.71970000099998, 52.699299999 4.7192, 52.6998 4.71900000099998, 52.701200001 4.71840000200001, 52.703899998 4.71739999900001, 52.704799999 4.71709999799998, 52.7053 4.71689999799997, 52.706 4.71669999900001, 52.706900001 4.71640000100001, 52.707600001 4.71629999999999, 52.710099999 4.71570000100002, 52.710200001 4.71570000100002, 52.7104 4.71559999900001, 52.710499998 4.715399999, 52.710700002 4.71519999999998, 52.710900001 4.71489999800002, 52.712499999 4.71290000200003, 52.713500001 4.71170000000001, 52.715100002 4.70980000100002, 52.715399999 4.70949999999999, 52.717399999 4.70789999900001, 52.718600001 4.70710000000003, 52.719000001 4.70650000099999, 52.719300002 4.70609999800001, 52.719799999 4.70540000099999, 52.720199998 4.70459999899998, 52.720800001 4.70369999899998, 52.7212 4.70300000200001, 52.721999999 4.70210000100002, 52.723999999 4.70030000100002, 52.725000001 4.699299999, 52.727600001 4.69640000200002, 52.729699999 4.69409999999999, 52.7304 4.69339999900001, 52.731899999 4.69150000100001, 52.732500002 4.690499999, 52.732799999 4.69009999899998, 52.732999999 4.68980000200003, 52.733399998 4.68930000099999, 52.734000001 4.68860000000001, 52.735399999 4.68809999899997, 52.7377 4.68729999999999, 52.739300001 4.68690000100003, 52.753800001 4.68210000200003, 52.754299998 4.68200000000002, 52.754700001 4.68200000000002, 52.755199999 4.68239999899998, 52.7641 4.68950000000001, 52.7685 4.69310000199999, 52.773499999 4.69720000000001, 52.774500001 4.698100001, 52.7775 4.70129999900001, 52.783300001 4.70530000000002, 52.786200002 4.70729999999998, 52.7969 4.71599999799997, 52.800500002 4.71889999899997, 52.8013 4.71979999899997, 52.801800001 4.72050000000002, 52.803199999 4.72349999800002, 52.805300001 4.72810000200002, 52.8061 4.72960000099999, 52.809300002 4.73510000099998, 52.810199998 4.73640000099999, 52.811000001 4.73739999899999, 52.811700001 4.73790000000002, 52.812899999 4.738699999, 52.8158 4.74109999799998, 52.817200001 4.74209999999999, 52.824999999 4.74669999999998, 52.832600001 4.75110000000001, 52.837499999 4.753600001, 52.840700001 4.75529999999998, 52.843899999 4.75690000100002, 52.848000001 4.7586, 52.851599999 4.76000000200003, 52.855300002 4.76139999899999, 52.861200001 4.76370000100002, 52.8675 4.76619999899998, 52.871599998 4.76780000000002, 52.875399999 4.769299999, 52.877300002 4.770100001, 52.878600001 4.77089999999998, 52.8803 4.772100002, 52.882800002 4.77389999899998, 52.887600001 4.77730000000003, 52.889699999 4.77879999999999, 52.8972 4.78400000200003, 52.901700001 4.78719999999998, 52.9045 4.78909999899997, 52.907699998 4.79149999800001, 52.911699999 4.794199999, 52.913899999 4.79579999999999, 52.9144 4.7962, 52.918099999 4.79399999999998, 52.926100001 4.78919999999999, 52.9309 4.786499999, 52.931600001 4.78609999999998, 52.932599999 4.78599999800002, 52.935699999 4.78590000000003, 52.9419 4.78570000100001, 52.943300001 4.785599999, 52.9454 4.786400001, 52.946600001 4.78519999999997, 52.9483 4.78300000000002, 52.9494 4.78280000000001))"
status_vaarweg.fid--375f6e7f_17ab674aa71_-38f4,31,143,"Vaarweg van het Hollandsch Diep naar de Schelde-Rijnverbinding, Krammer en Grevelingenmeer",,14.9,23.886,,HR,Hoofdroute,,,16499845,,"MULTILINESTRING ((51.638700001 4.25319999800001, 51.638500001 4.24450000000002, 51.638700001 4.23429999899997, 51.640099999 4.22469999999998, 51.642700002 4.21970000099998, 51.646299999 4.21420000099999, 51.648899999 4.20910000100002, 51.654800002 4.20059999799997, 51.659299999 4.194200002, 51.660999998 4.191399999, 51.661899999 4.18329999999997))"
status_vaarweg.fid--375f6e7f_17ab674aa71_-38f3,32,002b,Eemshaven,,0,1.089,,AANT,Aantakking,,,16499849,,"MULTILINESTRING ((53.4725 6.84550000000002, 53.464499999 6.840399999, 53.461399999 6.83839999899999, 53.4573 6.83819999899998, 53.4553 6.83749999899999))"
status_vaarweg.fid--375f6e7f_17ab674aa71_-38f2,33,401e,Molengat,,0,12.469,,VERB,Verbinding,,,16499557,,"MULTILINESTRING ((52.973200001 4.74159999900002, 52.973200001 4.738200001, 52.973299999 4.73580000200002, 52.9736 4.73380000100002, 52.973900001 4.73270000100001, 52.9758 4.7278, 52.976300001 4.72630000100003, 52.977299999 4.72419999900001, 52.9778 4.723099999, 52.98 4.71889999899997, 52.9826 4.715399999, 52.985300001 4.71260000000001, 52.987199999 4.71090000100003, 52.989399999 4.70939999799998, 52.991599999 4.70780000100001, 52.993900001 4.70630000199998, 52.9969 4.70479999899999, 52.9998 4.70329999900002, 53.0035 4.70210000100002, 53.005100001 4.70159999999998, 53.007199999 4.70109999900001, 53.010699999 4.70019999900001, 53.013700001 4.699900001, 53.018399999 4.70039999900001, 53.026299998 4.70120000100002, 53.026999999 4.70120000100002, 53.030299999 4.70129999900001, 53.032499999 4.70100000100001, 53.035799999 4.70030000100002, 53.037999999 4.69949999800002, 53.039700001 4.69869999999997, 53.041499998 4.69770000099999, 53.043000001 4.69660000099998, 53.045299999 4.69530000200001, 53.048999999 4.69379999900002, 53.051100001 4.69299999999998, 53.059999999 4.69150000100001, 53.0691 4.68950000000001, 53.114599999 4.67990000200001))"
status_vaarweg.fid--375f6e7f_17ab674aa71_-38f1,34,406,"Vaarwater naar Emden, Gaatje Bocht, Oostfriesche Gaatje, Doekegat, Randzelgat en Westereems",,17.621,38.963,,HR,Hoofdroute,,,16497873,,"MULTILINESTRING ((53.324700002 7.01209999999998, 53.324999999 7.01040000099999, 53.3259 7.00690000100002, 53.327599999 7.00340000199998, 53.328899998 7.00120000200002, 53.330699999 6.99879999799998, 53.3332 6.996100001, 53.3354 6.99460000200003, 53.338300001 6.9932, 53.342599999 6.99190000099998, 53.344700001 6.99119999999999, 53.3497 6.98989999999998, 53.3528 6.988200001, 53.3554 6.98660000000001, 53.3609 6.98180000100001, 53.362799998 6.98000000000002, 53.364500001 6.97850000099999, 53.369800001 6.97439999900001, 53.379500002 6.96689999799997, 53.3873 6.96110000099998, 53.397300001 6.95369999899998, 53.4038 6.948800001, 53.412999999 6.93970000000002, 53.416700002 6.93600000100002, 53.426199999 6.92520000000002, 53.434300002 6.91589999899998, 53.4355 6.91400000099998, 53.443399999 6.90069999899998, 53.4465 6.89460000000003, 53.462699998 6.863400001, 53.4725 6.84550000000002))"
status_vaarweg.fid--375f6e7f_17ab674aa71_-38f0,35,002,Zeehavenkanaal en havens van Delfzijl,,0,5.674,,HR,Hoofdroute,,,16499362,,"MULTILINESTRING ((53.324700002 7.01209999999998, 53.320099998 7.00959999899999, 53.317299999 7.00759999799999, 53.316399999 7.00659999999999, 53.315900002 7.00620000100002, 53.315499999 7.00539999799997, 53.315200001 7.00420000000003, 53.314800002 7.00169999899998, 53.3147 6.99769999799997, 53.3147 6.99470000000002, 53.315099999 6.99060000100002, 53.3158 6.98600000099998, 53.317000002 6.98119999800002, 53.318700001 6.97529999900001, 53.319899999 6.97060000200003, 53.3211 6.96339999899999, 53.322000001 6.95829999799997, 53.3222 6.956799999, 53.322799999 6.952, 53.324000001 6.94660000099998, 53.3248 6.94449999900002, 53.326400001 6.94060000000002, 53.327799998 6.93589999900001, 53.329300001 6.93140000099999, 53.328499999 6.930799998, 53.328699999 6.92929999900002))"
status_vaarweg.fid--375f6e7f_17ab674aa71_-38ef,36,079,Binnengracht (o. gedeelte) te Coevorden en Stieltjeskanaal,,0,12.928,,VERB,Verbinding,,,16501325,,"MULTILINESTRING ((52.657499999 6.74009999999998, 52.658300001 6.7414, 52.658599999 6.74199999899997, 52.658599999 6.74480000099999, 52.6589 6.74480000099999, 52.66 6.74450000000002, 52.6602 6.74450000000002, 52.660399999 6.74450000000002, 52.660500001 6.74460000200003, 52.661499999 6.746100001, 52.6622 6.74729999900001, 52.662500001 6.74769999799997, 52.6675 6.75529999999998, 52.668400001 6.756700002, 52.669199999 6.75820000099998, 52.669799998 6.76000000200003, 52.670299999 6.76190000000003, 52.670899998 6.76429999999999, 52.6712 6.7663, 52.671399999 6.76780000000002, 52.671500001 6.769299999, 52.671599999 6.77050000100002, 52.671500001 6.776999999, 52.671399999 6.78359999899999, 52.6712 6.79170000200003, 52.671100002 6.79479999799997, 52.6712 6.79579999999999, 52.671399999 6.79730000000001, 52.671700001 6.79879999899998, 52.672699999 6.80330000100003, 52.6734 6.80730000099999, 52.673999999 6.811500002, 52.6745 6.816599999, 52.675000001 6.82099999899998, 52.6754 6.82530000100002, 52.675900001 6.83210000000003, 52.675999999 6.83319999999998, 52.676100001 6.83399999900001, 52.6763 6.83489999900002, 52.6765 6.8356, 52.676800001 6.83630000099998, 52.677200001 6.83690000000001, 52.678199999 6.838500001, 52.6798 6.84070000100002, 52.682599999 6.84459999900002, 52.686500002 6.84980000199999, 52.689399999 6.85390000000001, 52.690099999 6.854899999, 52.691500001 6.856699999, 52.693399999 6.8596, 52.695500001 6.86239999899999, 52.6961 6.863499999, 52.6965 6.86450000100001, 52.696600001 6.86520000199999, 52.696899999 6.86690000099998, 52.696899999 6.86809999899998, 52.696800001 6.86930000000001, 52.696699999 6.87049999800001, 52.696600001 6.87150000000003, 52.696600001 6.87290000199999, 52.696800001 6.87440000100003, 52.697299998 6.87579999899998, 52.697999999 6.87720000000002, 52.699000001 6.87819999800001, 52.700199999 6.87869999899999, 52.705899999 6.88039999799997, 52.706799999 6.88069999999999, 52.707600001 6.88049999999998, 52.708799999 6.88019999900001, 52.709600002 6.88010000100002, 52.713599999 6.88100000100002))"
status_vaarweg.fid--375f6e7f_17ab674aa71_-38ee,37,505,Scheepvaartroute Noordzeekust,,0,154.915,,VERB,Verbinding,,,16501464,,"MULTILINESTRING ((51.727600001 3.54540000100002, 51.742800001 3.56019999799997, 51.745299999 3.56380000000001, 51.799199998 3.68470000100001, 51.8226 3.74920000100002, 51.825599998 3.7577, 51.836399999 3.78599999800002, 51.861699998 3.85200000200001, 51.975699998 3.93809999899997, 52.004999999 3.98680000000002, 52.034600001 4.03759999900001, 52.045899998 4.06139999999999, 52.058499999 4.08810000099999, 52.071899999 4.1164, 52.088300001 4.15129999800001, 52.121300001 4.22160000000002, 52.123199999 4.22559999999999, 52.1274 4.23449999799999, 52.308400001 4.35849999999999, 52.4734 4.47239999800001, 52.853700001 4.61679999900002, 52.881299999 4.62750000099999))"
status_vaarweg.fid--375f6e7f_17ab674aa71_-38ed,38,081,Kanaal Zutphen-Enschede van de Twenthekanalen,,0,49.803,,HR,Hoofdroute,,,16501519,,"MULTILINESTRING ((52.168099999 6.191599999, 52.1664 6.19389999999999, 52.164099999 6.19680000099999, 52.1633 6.198100001, 52.162700001 6.199099999, 52.161899999 6.20109999900001, 52.161400001 6.20279999799999, 52.1609 6.20499999800001, 52.1591 6.21310000099999, 52.158500001 6.21629999999999, 52.158399999 6.21779999900002, 52.158399999 6.21940000000001, 52.158399999 6.22100000099999, 52.158500001 6.22260000199998, 52.158799998 6.22410000100001, 52.159400001 6.22850000099999, 52.1602 6.23389999900002, 52.160599999 6.23640000099999, 52.161800001 6.24489999899998, 52.1646 6.26419999799998, 52.1653 6.26979999999998, 52.1655 6.27149999900001, 52.165600002 6.27349999900002, 52.1657 6.27569999899998, 52.1657 6.28280000000001, 52.165800001 6.29340000100001, 52.165899999 6.30059999999997, 52.166000001 6.30590000000001, 52.166000001 6.31080000100002, 52.166099999 6.31450000000001, 52.166200001 6.32479999999998, 52.166299999 6.33729999899998, 52.1664 6.34870000199999, 52.1664 6.35590000100001, 52.166499998 6.35849999999999, 52.166499998 6.36410000199999, 52.1666 6.37290000199999, 52.166700002 6.37990000100001, 52.166700002 6.39019999999999, 52.166700002 6.39270000200003, 52.166700002 6.39600000199999, 52.165899999 6.40989999800001, 52.165800001 6.41369999900002, 52.165399998 6.42199999799999, 52.165399998 6.425700001, 52.1657 6.43140000099999, 52.166099999 6.43509999999998, 52.1666 6.43860000000001, 52.167199999 6.44189999999998, 52.167800002 6.444200002, 52.168299999 6.44630000000001, 52.169300001 6.44940000000003, 52.170200001 6.45169999799998, 52.171799999 6.45530000000002, 52.173599999 6.45899999900001, 52.175299998 6.46240000099999, 52.178599998 6.46909999799999, 52.181400001 6.47480000199999, 52.1833 6.47839999899998, 52.184999999 6.48189999900001, 52.188200001 6.48829999899999, 52.190099999 6.49209999999999, 52.192600001 6.49740000100002, 52.193300001 6.49920000100002, 52.193999998 6.500999998, 52.194699999 6.502999999, 52.1954 6.50499999900001, 52.195900001 6.50649999799998, 52.1972 6.50930000099999, 52.1994 6.51359999900001, 52.201400001 6.51780000000002, 52.205800001 6.52640000000002, 52.2095 6.53359999899999, 52.2152 6.54479999799997, 52.216699999 6.54760000099998, 52.217900001 6.55040000000002, 52.218899999 6.55299999900001, 52.219599999 6.55539999899997, 52.2203 6.55799999800001, 52.220800001 6.55999999900001, 52.221299998 6.56199999900002, 52.221700002 6.56459999800001, 52.222800002 6.57229999800001, 52.2238 6.57930000099998, 52.224599998 6.58539999999999, 52.2267 6.59930000100002, 52.227000002 6.60130000100003, 52.227200001 6.6028, 52.2278 6.605799999, 52.2282 6.60750000199999, 52.229499999 6.61239999899999, 52.230300002 6.61540000100001, 52.230900001 6.61760000100003, 52.231800001 6.621199999, 52.232999999 6.62559999899997, 52.234200001 6.629799999, 52.235300001 6.63380000000001, 52.236200001 6.637400001, 52.237199999 6.64119999899998, 52.238600001 6.64840000100003, 52.238899998 6.65030000000002, 52.239399999 6.65260000199999, 52.2401 6.65590000200001, 52.240899999 6.659699999, 52.241999999 6.66450000200001, 52.2432 6.66879999999998, 52.243999999 6.671100002, 52.246300001 6.676899999, 52.247099999 6.6789, 52.248199999 6.68140000099999, 52.2491 6.683600001, 52.249600001 6.68490000100002, 52.2502 6.686500002, 52.250700001 6.68829999899998, 52.251200002 6.69000000099999, 52.251600001 6.69170000000003, 52.251899999 6.69339999900001, 52.2522 6.696199998, 52.252300002 6.699000001, 52.252300002 6.71090000100003, 52.252300002 6.71680000100002, 52.252300002 6.72030000000001, 52.252099998 6.72700000200001, 52.251800001 6.73319999900002, 52.2513 6.74669999999998, 52.2511 6.754099999, 52.250700001 6.76190000000003, 52.250300001 6.76740000000001, 52.2489 6.77839999999998, 52.248300001 6.78429999899998, 52.248300001 6.78440000099999, 52.247699998 6.78919999999999, 52.2476 6.79019999899998, 52.247200001 6.79439999900001, 52.247000001 6.79589999799998, 52.246199999 6.80359999799998, 52.245900001 6.80610000000001, 52.245299999 6.81170000100002, 52.244800001 6.81459999800001, 52.244199999 6.817200001, 52.243099999 6.82090000099998, 52.241999999 6.824000001, 52.240699999 6.82659999999998, 52.239399999 6.82900000000001, 52.2346 6.83670000000001, 52.231800001 6.84109999999998, 52.229200002 6.845199998, 52.2256 6.850900002, 52.221500002 6.85750000199999))"
status_vaarweg.fid--375f6e7f_17ab674aa71_-38ec,77,251,Vaarweg van Amsterdam via de Krabbersgatsluizen naar Lemmer,,0,53.5,,AR,Alternatieve route,,,16500301,,"MULTILINESTRING ((52.442299999 5.20980000100002, 52.649599999 5.23259999999999, 52.664900001 5.2509, 52.6723 5.25990000000002, 52.679200001 5.26819999899999, 52.6809 5.270199999, 52.682399999 5.27189999799998, 52.683400001 5.2731, 52.683699999 5.27340000100003, 52.684099998 5.27340000100003, 52.684500001 5.27330000000001, 52.684900001 5.2731, 52.685199998 5.27299999799999, 52.6855 5.27299999799999, 52.685800001 5.2731, 52.686000001 5.27320000200001, 52.6862 5.27330000000001, 52.686500002 5.27360000099998, 52.686700001 5.27389999899998, 52.687100001 5.27450000099998, 52.688200001 5.27620000000002, 52.690400001 5.27969999999999, 52.691599999 5.28150000099998, 52.692000002 5.28220000099998, 52.692899998 5.28370000000001, 52.6932 5.28400000200003, 52.694699999 5.286499999, 52.6952 5.28709999799997, 52.697900001 5.29250000000002, 52.698199999 5.29309999899999, 52.699000001 5.29459999900001, 52.700100001 5.29689999999999, 52.705400001 5.30720000000002, 52.709199999 5.31509999899998, 52.724300001 5.33980000000003, 52.742199998 5.37079999999997, 52.789099999 5.59989999999999))"
status_vaarweg.fid--375f6e7f_17ab674aa71_-38eb,78,130,Kanaal van Gent naar Terneuzen met de Zijkanalen en havens,,0,16.409,,AANT,Aantakking,,,16499190,,"MULTILINESTRING ((51.074499998 3.73710000099999, 51.077399999 3.73660000000001, 51.0801 3.73640000099999, 51.087699998 3.73470000200001, 51.097600002 3.73349999999999, 51.0995 3.733600002, 51.1006 3.73400000100003, 51.101300001 3.7346, 51.102200001 3.73530000099998, 51.1041 3.73669999800001, 51.105300002 3.73790000000002, 51.106699999 3.74020000199999, 51.109700002 3.74269999900002, 51.117600001 3.754099999, 51.123199999 3.760699999, 51.131700002 3.77059999900001, 51.1413 3.77730000000003, 51.1503 3.78310000200003, 51.172899999 3.79689999999999, 51.184799999 3.80160000199999, 51.1864 3.80209999900001, 51.188700002 3.80200000100001, 51.2005 3.80160000199999, 51.204999998 3.80160000199999, 51.208900001 3.80209999900001, 51.211300001 3.80270000199999))"
status_vaarweg.fid--375f6e7f_17ab674aa71_-38ea,79,034,Vaarweg van het Prinses Margrietkanaal (Kruiswaters) naar Drachten,,0,14.361,,AANT,Aantakking,,,16499255,,"MULTILINESTRING ((53.1446 5.90839999899998, 53.1435 5.90980000000002, 53.141899999 5.911499999, 53.1402 5.9135, 53.139600001 5.91380000100003, 53.139199998 5.91389999900002, 53.138500001 5.91460000000001, 53.137699999 5.91550000000001, 53.1351 5.91840000100001, 53.133000001 5.92069999900002, 53.132100001 5.92179999899997, 53.1316 5.92230000000001, 53.131299999 5.92280000099998, 53.130399998 5.92399999899999, 53.1303 5.92450000000002, 53.130100001 5.92529999800001, 53.129799999 5.926199999, 53.1296 5.92669999999998, 53.129099999 5.92830000100003, 53.128699999 5.93000000000001, 53.1281 5.93220000000002, 53.127799999 5.93320000199998, 53.127300002 5.93430000199999, 53.1272 5.934599999, 53.126600001 5.93609999900002, 53.1261 5.93710000099998, 53.125500001 5.93829999899998, 53.123500001 5.941300001, 53.122900002 5.942200001, 53.122200001 5.94289999799997, 53.120999999 5.94379999900002, 53.120499998 5.94399999799998, 53.120299999 5.944200002, 53.118700001 5.94509999799999, 53.117600001 5.94559999900002, 53.1171 5.94579999899997, 53.107799999 5.94830000000002, 53.105900001 5.949000001, 53.105500001 5.94920000100001, 53.104800001 5.94970000199999, 53.1041 5.95049999999998, 53.103500001 5.95129999900001, 53.103100002 5.951900002, 53.103 5.95210000100002, 53.102899998 5.95230000100003, 53.102899998 5.95250000099998, 53.102899998 5.95400000000001, 53.1032 5.95639999999997, 53.104800001 5.96629999999999, 53.107000001 5.975900002, 53.1072 5.97800000000001, 53.107299998 5.97969999899999, 53.107000001 5.98110000000003, 53.1065 5.98279999900001, 53.1065 5.98449999799999, 53.1065 5.98609999899998, 53.106600001 5.99029999999999, 53.106400002 5.991300002, 53.106199998 5.99209999999999, 53.105900001 5.99269999900002, 53.105700001 5.99350000200002, 53.105900001 5.99540000000002, 53.105999999 5.99720000100001, 53.105999999 5.99729999900001, 53.106400002 6.00039999900002, 53.107000001 6.00319999800001, 53.1074 6.00589999900001, 53.107700001 6.01289999900001, 53.107700001 6.01299999999998, 53.107999999 6.02089999999998, 53.108100001 6.03519999999997, 53.108100001 6.03570000100001, 53.108399998 6.03999999899997, 53.1087 6.04529999900001, 53.109000001 6.05319999900001, 53.109000001 6.05629999899998, 53.109099999 6.06280000100003, 53.109000001 6.07829999900002))"
status_vaarweg.fid--375f6e7f_17ab674aa71_-38e9,80,103,"Pannerdensch Kanaal, Neder-Rijn en Lek",,0,11.331,,HR,Hoofdroute,,,16499311,,"MULTILINESTRING ((51.869899999 6.04969999899998, 51.871100001 6.0462, 51.873 6.04180000000002, 51.874499999 6.03819999799998, 51.8759 6.03590000000003, 51.8772 6.03400000200003, 51.878699999 6.03220000099998, 51.8796 6.03119999900002, 51.880399998 6.03049999799998, 51.882300001 6.02879999999999, 51.884100001 6.02760000199999, 51.885899998 6.02670000099999, 51.888300002 6.02580000099999, 51.8902 6.02530000000002, 51.892000001 6.02479999899998, 51.893800002 6.02389999899998, 51.895 6.02299999799999, 51.8959 6.02230000100002, 51.897300001 6.02100000199999, 51.8981 6.01990000199999, 51.898600001 6.019200001, 51.899500001 6.01790000099999, 51.900199998 6.01680000099998, 51.900699999 6.01570000100003, 51.901099999 6.01489999900002, 51.901700001 6.01339999999999, 51.9025 6.01110000199998, 51.904800002 6.00310000000002, 51.905400001 6.00110000000001, 51.906199999 5.99929999900002, 51.907200001 5.997000001, 51.9087 5.99399999899998, 51.9098 5.99199999899997, 51.910799999 5.99040000100001, 51.9122 5.98829999899999, 51.913199998 5.98700000000002, 51.9142 5.98580000200002, 51.915100001 5.98490000100003, 51.9168 5.98319999900002, 51.9188 5.98149999999998, 51.9201 5.98039999999997, 51.920699999 5.979800001, 51.921300001 5.97920000200003, 51.922200002 5.97810000200002, 51.9232 5.9769, 51.924699999 5.97469999999998, 51.926199999 5.972199999, 51.927099999 5.97030000000001, 51.928199999 5.96849999900002, 51.929499999 5.96669999900001, 51.9307 5.965399999, 51.932100002 5.96429999899999, 51.933200002 5.96339999899999, 51.934500001 5.96269999800001, 51.936000001 5.96200000099998, 51.937600002 5.96170000000001, 51.938900001 5.961599998, 51.940000001 5.9615, 51.941399999 5.96130000099998, 51.942499999 5.96090000100003, 51.943300001 5.96049999799999, 51.9443 5.95989999900002, 51.944699999 5.959600002, 51.945599999 5.95899999900001, 51.946400002 5.95829999799997, 51.946800001 5.95780000100001, 51.9472 5.95740000199999, 51.947700001 5.956799999, 51.9483 5.95609999800001))"
status_vaarweg.fid--375f6e7f_17ab674aa71_-38e8,81,131j,Sardijngeul en Oostgat,,0,28.751,,AANT,Aantakking,,,16499338,,"MULTILINESTRING ((51.432500001 3.588500001, 51.432500001 3.57470000199999, 51.434099998 3.57030000200001, 51.436500002 3.56789999799997, 51.439399999 3.56590000199998, 51.442499999 3.5616, 51.445500001 3.55559999899998, 51.446699999 3.55139999800002, 51.447299998 3.54940000200003, 51.448399998 3.54630000100002, 51.450399999 3.53770000100002, 51.452100001 3.53119999900002, 51.456 3.52059999900001, 51.463100001 3.51720000099999, 51.470600002 3.511799999, 51.482099999 3.49869999999999, 51.487 3.49240000200001, 51.4965 3.47239999800001, 51.499499999 3.46660000100002, 51.5055 3.45499999800001, 51.512600001 3.441599999, 51.5198 3.42959999999999, 51.525199998 3.42830000100003, 51.533799998 3.42529999800001, 51.5414 3.42280000099998, 51.5561 3.41460000000001, 51.587900002 3.38899999900002, 51.628800001 3.35159999899997))"
