,tripName,vesselName,timeStart,timeEnd,longitudeStart,longitudeEnd,latitudeStart,latitudeEnd,currentSpeedOverGround,timestampEta,destination,typeOfShipId,length,width,draught,dimA,dim,dimC,dimD
43,trip_43,vessel_29,2019-07-15 20:20:15,2019-07-17 03:00:14,8.522556666666668,4.685388333333333,50.07890666666667,51.821525,4.8,2019-07-13 08:00:00,LUDWIGSHAFEN,83.0,110.0,12.0,2.8,99.0,11.0,7.0,5.0
44,trip_44,vessel_30,2019-02-05 22:18:02,2019-02-07 07:50:19,8.5233333333333,4.686703333333333,50.081666666667005,51.821493333333336,0.0,2019-02-05 06:00:00,HOECHST,80.0,110.0,12.0,2.3,110.0,0.0,6.0,6.0
45,trip_45,vessel_31,2019-03-22 10:24:30,2019-03-24 14:50:12,8.67101,4.680478333333333,50.103495,51.82138166666667,7.8,2019-11-30 00:00:00,DIETFURT,70.0,106.0,12.0,2.5,96.0,10.0,4.0,8.0
46,trip_46,vessel_32,2019-09-04 21:00:02,2019-09-06 01:00:06,8.526725,4.687806666666667,50.08447166666666,51.822085,6.7,2019-09-05 17:27:00,NECKARHAVEN,89.0,135.0,12.0,1.6,123.0,12.0,9.0,3.0
47,trip_47,vessel_33,2019-07-22 04:46:10,2019-07-24 07:32:19,8.541163333333332,4.68366,50.09217833333334,51.821305,7.6,2019-07-24 21:00:00,ROTTERDAM,89.0,186.0,12.0,2.8,172.0,14.0,6.0,6.0
48,trip_48,vessel_34,2019-07-22 03:50:30,2019-07-24 07:51:05,8.523798333333334,4.6704783333333335,50.07346166666667,51.83051,6.0,2019-07-24 14:00:00,ROTTERDAM,79.0,105.0,10.0,2.4,90.0,15.0,8.0,2.0
49,trip_49,vessel_0,2019-09-17 14:20:21,2019-09-19 02:20:15,8.526585,4.669605000000002,50.084305,51.843655,6.2,2019-07-23 21:09:00,DUISBURG,79.0,135.0,12.0,2.4,120.0,15.0,12.0,0.0
50,trip_50,vessel_35,2019-05-22 09:00:06,2019-05-23 09:50:52,8.525971666666667,4.65556,50.08380333333334,51.85542333333333,8.3,2019-05-22 00:32:00,HANAU,80.0,110.0,12.0,0.3,100.0,10.0,6.0,6.0
51,trip_51,vessel_25,2019-07-28 03:59:13,2019-07-30 13:00:53,8.58871,4.691723333333333,50.08833833333333,51.822556666666664,3.4,2020-01-01 00:00:00,ROTTERDAM,79.0,185.0,10.0,2.2,169.0,16.0,8.0,2.0
52,trip_52,vessel_34,2019-05-28 17:00:01,2019-05-30 16:00:02,8.54562,4.699166666666667,50.09512833333334,51.823265,6.5,2019-05-30 18:00:00,ROTTERDAM,79.0,105.0,10.0,2.5,90.0,15.0,8.0,2.0
53,trip_53,vessel_8,2019-10-31 09:50:21,2019-11-02 09:50:44,8.556431666666667,4.682411666666667,50.09920333333334,51.82138833333333,7.3,2019-12-28 16:00:00,ROTTERDAM,70.0,105.0,10.0,2.2,85.0,20.0,2.0,8.0
54,trip_54,vessel_36,2019-05-24 16:04:43,2019-05-27 09:34:40,8.533201666666667,4.511875,50.08880666666666,51.91453666666666,2.0,2019-05-20 22:00:00,IBBENBUEREN,89.0,85.0,9.0,,75.0,10.0,7.0,2.0
55,trip_55,vessel_1,2019-05-16 03:27:51,2019-05-17 04:20:03,8.523131666666666,4.6927400000000015,50.08001333333333,51.82247666666667,6.1,2019-04-29 17:30:00,DEFAM03902TERMC00187,80.0,110.0,11.0,2.4,98.0,12.0,7.0,4.0
56,trip_56,vessel_17,2019-11-23 09:20:31,2019-11-24 19:50:35,8.522860000000001,4.670785,50.075615,51.821365,7.3,2019-11-23 13:00:00,GUSTAVSBURG,79.0,135.0,11.0,1.7,120.0,15.0,7.0,4.0
57,trip_57,vessel_2,2019-11-28 11:52:02,2019-11-29 15:00:01,8.52427,4.667585,50.073265,51.82139,7.3,2019-11-30 00:00:00,,89.0,105.0,12.0,2.8,10.0,95.0,7.0,5.0
58,trip_58,vessel_37,2019-06-18 15:00:18,2019-06-20 05:20:24,8.540108333333333,4.649491666666667,50.09165,51.81123333333333,6.8,,NACH HAUSE,80.0,86.0,10.0,,78.0,8.0,4.0,6.0
59,trip_59,vessel_37,2019-11-23 11:30:07,2019-11-24 17:50:35,8.523914999999999,4.630251666666667,50.08278333333333,51.80195666666667,0.0,,NACH HAUSE,80.0,86.0,10.0,,78.0,8.0,4.0,6.0
60,trip_60,vessel_28,2019-10-24 12:00:03,2019-10-27 09:00:05,8.541595,4.6712066666666665,50.09239,51.82439,6.8,2019-10-27 10:00:00,ROTTERDAM,79.0,185.0,11.0,2.5,165.0,20.0,3.0,8.0
61,trip_61,vessel_38,2019-08-02 14:32:25,2019-08-03 20:50:14,8.525115,4.6698,50.07143,51.829265,6.5,2019-08-01 19:47:00,HOECHST,80.0,86.0,9.0,1.5,71.0,15.0,4.0,5.0
62,trip_62,vessel_29,2019-02-05 10:07:07,2019-02-08 01:50:49,8.528410000000001,4.6465266666666665,50.086425,51.80891666666667,0.0,2019-02-02 09:00:00,ROTTERDAM,83.0,110.0,12.0,2.5,99.0,11.0,7.0,5.0
63,trip_63,vessel_29,2019-08-13 17:51:06,2019-08-15 12:20:06,8.522986666666666,4.638818333333333,50.07527,51.80430333333333,7.8,2019-08-05 07:00:00,ANTWERPEN,83.0,110.0,12.0,2.4,99.0,11.0,7.0,5.0
